id,niveau,dimension,question,objectif,tip,tags_theme,tags_filtre,icon_tag
65,2,PROTÉGER,"Comprendre qu’au fil des saisons le vivant est différent et choisit le site en fonction de ses besoins (hivernage, reproduction….)",Comprendre la multifonctionnalité des habitats et l'importance de les préserver.,"Il y a des moments clés à chaque saison pour chaque espèce, il est important de les repérer pour savoir qui est là, à quel moment et pourquoi","[""cohabitation_vivant"",""biodiversite_saisonnalite""]","[""écosystème"",""zone sensible""]",
66,2,PROTÉGER,Pourquoi la présence humaine doit limiter son impact sur un lieu de vie qui n'est pas le sien mais celui de nombreuses espèces ?,Comprendre notre responsabilité en tant qu'invités dans un milieu naturel.,"Nous ne sommes que de passage, laissons l'endroit comme nous l'avons trouvé.","[""impact_presence_humaine"",""cohabitation_vivant""]","[""zone sensible""]",
67,3,PROTÉGER,Pourquoi chacun peut œuvrer en faveur de la biodiversité ?,"Comprendre que chaque geste compte, de la protection locale à l'action globale.","Signaler une espèce, ramasser un déchet, respecter les zones... tout aide.","[""cohabitation_vivant"",""sciences_participatives""]","[""action citoyenne""]",
68,1,COMPRENDRE,Comment prendre en compte les rythmes naturels,"Comprendre que les activités humaines sont soumises à différents rythmes : le rythme quotidien des marées, le rythme mensuel des cycles de la lune, le rythme annuel des saisons …","La nature aura toujours le dernier mot, à charge pour l’homme d’ajuster ses activités pour être en sécurité et en harmonie avec le lieu. L’adaptation à tous ces rythmes passe par la connaissance.","[""reperes_spatio_temporels""]","[""adaptation""]",
69,2,COMPRENDRE,Quelles sont les interdépendances en milieu marin ?,"Comprendre que tous les éléments (vent, courant, faune, flore) sont liés.","Le vent crée les vagues, qui façonnent la côte, qui abrite des espèces spécifiques...","[""interactions_climatiques"",""biodiversite_saisonnalite""]","[""écosystème""]",
70,1,OBSERVER,Comment lire son environnement pour naviguer en sécurité ?,Apprendre à observer les éléments clés pour une pratique sécuritaire.,"Avant de partir, prenez 5 minutes pour regarder le ciel, la mer, le vent.","[""lecture_paysage""]","[""sécurité"",""observation""]",
71,2,OBSERVER,"Comment repères-tu ta zone de navigation, quels amers prends-tu ?",Apprendre à utiliser des points de repère fixes pour se situer.,"Un amer est un point de repère remarquable sur la côte (clocher, phare, château d'eau).","[""lecture_paysage""]","[""repères visuels"",""sécurité""]",
72,2,OBSERVER,"Pourquoi tout ce qui est inhabituel (en mer, comme à terre) doit être signalé ?",Devenir une sentinelle de l'environnement.,"Une pollution, une espèce échouée, un filet abandonné... votre signalement peut déclencher une action.","[""sciences_participatives""]","[""action citoyenne""]",responsabilite_environnementale
73,1,PROTÉGER,Comment avoir un impact minimal sur l'environnement ?,Apprendre les gestes de base pour limiter son empreinte écologique.,Ne rien laisser derrière soi est la règle d'or.,"[""impact_presence_humaine""]","[""éco-geste""]",responsabilite_environnementale
74,2,PROTÉGER,Comment partager l'espace avec la faune et la flore ?,Adopter des comportements respectueux pour minimiser le dérangement.,"Considérez que vous êtes dans leur maison, pas l'inverse.","[""cohabitation_vivant""]","[""zone sensible"",""faune"",""flore""]",
75,1,COMPRENDRE,Quelles sont les activités humaines en mer et sur le littoral ?,"Identifier les différents usages du littoral (pêche, loisirs, transport...).","Regardez autour de vous : pêcheurs, plaisanciers, promeneurs... nous partageons tous cet espace.","[""activites_humaines""]",,
76,2,COMPRENDRE,Quels impacts ont les activités humaines sur le milieu marin ?,"Comprendre les conséquences de nos actions (pollution, surexploitation...).",Même un petit déchet peut avoir un impact énorme sur un animal.,"[""impact_presence_humaine""]","[""pollution""]",responsabilite_environnementale
77,2,COMPRENDRE,Qu'est-ce que l'économie bleue ?,Comprendre le concept d'économie maritime durable.,C'est l'idée de développer des activités économiques qui respectent la santé de l'océan.,"[""activites_humaines""]","[""économie""]",
78,2,OBSERVER,Comment les pratiques évoluent-elles vers plus de durabilité ?,Observer les innovations et les changements de comportement.,"Matériaux recyclés, moteurs électriques, zones protégées... les choses bougent !","[""activites_humaines""]","[""adaptation"",""innovation""]",marée
79,3,PROTÉGER,Comment adopter des modes de consommation durables et écologiques ?,Comprendre que nos choix en tant que consommateurs ont un impact.,"Choisir des produits de la mer issus de la pêche durable, réduire sa consommation de plastique.","[""impact_presence_humaine""]","[""éco-geste""]",responsabilite_environnementale
80,3,PROTÉGER,Comment aider à la préservation du site en participant à des programmes de recherche via des sites de sciences participatives ?,Savoir utiliser les outils de sciences participatives.,Des applications comme iNaturalist ou OBSenMER permettent de signaler vos observations.,"[""sciences_participatives""]","[""action citoyenne"",""outils""]",navigation_securite
81,2,PROTÉGER,Pourquoi chacun peut devenir acteur de la préservation de la nature tout en améliorant la connaissance en général ?,Comprendre la valeur de chaque observation individuelle.,Des milliers d'yeux valent mieux qu'un seul. Vos données sont précieuses pour les scientifiques.,"[""sciences_participatives"",""cohabitation_vivant""]","[""action citoyenne""]",
82,1,comprendre,Qu’est-ce qu’un nuage ?,Décrire la nature fondamentale d'un nuage.,Un nuage est une collection visible de minuscules gouttelettes d’eau ou de cristaux de glace suspendus dans l’air.,"[""Nuages""]",,phenomenes_physiques
83,1,comprendre,Pourquoi les nuages peuvent-ils être blancs ou gris foncés ?,Expliquer la variation de couleur des nuages.,Parce que les nuages épais ou chargés de gouttelettes cristallisées laissent passer moins de lumière ; un nuage très épais peut paraître gris ou sombre,"[""Nuages""]",,phenomenes_physiques
84,1,comprendre,Quel rôle joue un nuage dans le cycle de l’eau ?,Identifier le rôle des nuages dans le cycle de l'eau.,"Les nuages sont une étape du cycle de l’eau : l’eau s’évapore, monte, forme un nuage, puis retombe sous forme de précipitations (pluie, neige).","[""Nuages"",""Cycle de l'eau""]",,phenomenes_physiques
85,1,comprendre,Qu’est-ce que le vent ?,Définir ce qu'est le vent.,"Le vent est le déplacement de l’air par rapport à la surface de la Terre, causé par des différences de pression atmosphérique","[""Vent""]",,phenomenes_physiques
86,1,comprendre,Qu’entend-on par « oiseau migrateur » en Normandie ?,Définir la notion d'oiseau migrateur en Normandie.,"Un oiseau migrateur est une espèce qui effectue chaque année un déplacement régulier (souvent vers le sud ou vers le nord) pour l’hiver ou la reproduction, et qui passe ou s’arrête en Normandie dans ses trajets","[""Oiseaux migrateurs"",""Migrations""]",,vie_marine_littoral
87,1,comprendre,Pourquoi la Normandie est-elle un territoire important pour les migrations d’oiseaux ?,Expliquer l'importance de la Normandie pour les migrations aviaires.,"Parce que le littoral, les zones humides et les estuaires normands constituent des escales ou des zones d’hivernage pour de nombreuses espèces migratrices","[""Oiseaux migrateurs"",""Migrations"",""Biodiversité""]",,vie_marine_littoral
88,2,OBSERVER,"Combien d’espèces de mammifères marins ont été observées sur les côtes normandes, et quelles sont les espèces les plus fréquemment observées ?",Connaître les mammifères marins observés en Normandie.,"On recense **24 espèces de mammifères marins** observées ou échouées sur le littoral normand. Parmi les plus fréquentes : le Phoque veau-marin, le Phoque gris et le Marsouin commun.","[""Mammifères marins"",""Biodiversité"",""caracteristiques_littoral"",""lecture_paysage""]",[],phenomenes_physiques
89,1,comprendre,Qu’est-ce qu’un courant marin ?,Définir ce qu'est un courant marin.,"C’est un mouvement dirigé d’eau de mer, souvent horizontal, qui circule dans l’océan ou près des côtes. Pense-y comme à une « rivière dans l’océan ».","[""Courants marins""]",,phenomenes_physiques
90,1,comprendre,Qu’est-ce qu’une houle ?,Expliquer la nature de la houle.,"Une houle est une série d’ondes de gravité à la surface de l’eau qui ont été générées par du vent à distance et qui ont voyagé loin de leur origine, devenant organisées et régulières. Contrairement aux vagues « locales » générées directement par le vent à proximité, une houle vient souvent d’un système de tempête éloigné","[""Houle"",""Vagues""]",,phenomenes_physiques
91,1,comprendre,Pourquoi les horaires de marée changent-ils chaque jour à un même endroit ?,Comprendre le décalage quotidien des marées.,"Parce que le jour lunaire (environ 24 h 50 min) est plus long que le jour solaire (24 h), donc chaque jour on revient « un peu plus tard » sous l’effet principal de la Lune Le décalage quotidien des horaires de marée est dû essentiellement au fait que la Lune **avance** dans son orbite pendant que la Terre tourne. Quelques éléments clés : Une « journée lunaire » (le temps que met un point de la Terre pour revenir sous la Lune) est d’environ **24 h 50 min** (et non de 24 h) parce que la Lune se déplace dans son orbite pendant que la Terre tourne. Puisque la Terre doit tourner un peu plus pour « rattraper » la position de la Lune, chaque marée haute, ou marée basse, se produit environ **50 minutes plus tard** que la veille (dans les zones à marée semi-diurne typiques).","[""Marées""]",,phenomenes_physiques
92,1,observer,Qu’est-ce que la curiosité a-t-elle à voir avec l’observation de la nature ?,Expliquer le rôle de la curiosité dans l'observation.,"Un bon observateur est animé par la curiosité : il se questionne, il se demande « quoi ? », « pourquoi ? », « comment ? ».","[""Observation"",""Nature""]",,vie_marine_littoral
93,1,observer,"Comment l’usage des sens (vue, ouïe, toucher…) contribue-t-il à être un bon observateur de la nature ?",Identifier l'importance des sens en observation.,"Utiliser activement les sens permet de détecter des détails subtils : l’observation ne se limite pas à regarder, mais aussi à écouter, sentir, toucher (quand c’est possible et respectueux)","[""Observation"",""Sens""]",,vie_marine_littoral
94,1,observer,Quel rôle joue la connaissance des espèces et des milieux dans l’observation de la nature ?,Mettre en évidence le lien entre connaissance et observation.,"Connaître (ou chercher à connaître) les plantes, animaux, habitats de sa région permet de reconnaître ce qui est «normal», ce qui est «nouveau» ou «significatif». Cela enrichit l’observation","[""Observation"",""Connaissance"",""Biodiversité""]",,vie_marine_littoral
95,1,observer,Pourquoi le respect de la nature est-il une composante d’un bon observateur ?,Comprendre l'éthique de l'observation naturelle.,"Parce que l’observation ne doit pas nuire à ce qu’on observe : respecter animaux, plantes, milieux, ne pas les déranger ou les endommager. Cela garantit que l’observation est éthique et durable","[""Observation"",""Respect"",""Éthique""]",,responsabilite_environnementale
96,1,observer,Qu’est-ce que l’on entend par « état de la mer » ?,Définir la notion d'état de la mer.,"C’est l’ensemble des conditions de surface de la mer à un lieu donné, typiquement décrites par la hauteur des vagues, la longueur d’onde, la direction du vent ou de la houle, et parfois la fréquence des creux. Bien connaître l’état de la mer permet d’évaluer la sécurité et la difficulté de l’activité","[""État de la mer"",""Navigation""]",,navigation_securite
97,1,observer,Quels éléments visuels/observables pouvez-vous vérifier en bord de mer pour estimer l’état de la mer ?,Identifier les signes visuels de l'état de la mer.,"La présence de « moutons » (crêtes de vagues blanches) → vent important ; La direction des vagues / houle et si elles cassent ou non ; La visibilité à l’horizon (brume, pluie, mer agitée) → reflet des conditions météo. Ces observations simples peuvent donner beaucoup d’indices avant même d’être dans l’eau.","[""État de la mer"",""Observation"",""Sécurité""]",,navigation_securite
